ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición
92,simple,,"Batman: El regreso del Caballero Oscuro",1,0,visible,"La emblemática historia de Batman, uno de los superhéroes más famosos, enfrentando la oscuridad de Gotham City.","El caballero oscuro (Dark Knight) es una novela gráfica que sigue las aventuras de Batman mientras lucha contra el crimen en Gotham City. Con un enfoque más maduro y oscuro, esta obra redefinió al personaje y dejó un legado duradero en los cómics.",,,taxable,,1,,,0,0,,,,,1,,29.9,34.9,Comic/Manga,"Acción, Batman, Novela gráfica, Superhéroes",,http://localhost/arcanum/wp-content/uploads/2024/12/dk.png,,,,,,,,,0
94,simple,,"Amazing Spiderman",1,0,visible,"Las aventuras de Peter Parker, el superhéroe conocido como el Hombre Araña.","Una de las historias más populares de Marvel, donde seguimos a Peter Parker, un joven que obtiene poderes arácnidos, mientras lucha contra villanos y enfrenta su vida personal como el Hombre Araña. Esta serie es fundamental para los fanáticos de los cómics de superhéroes.",,,taxable,,1,,,0,0,,,,,1,,29.9,34.9,"Acción, Comic/Manga","Cómic, Marvel, Spider-Man, Superhéroes",,http://localhost/arcanum/wp-content/uploads/2024/12/spi.png,,,,,,,,,0
95,simple,,"One Piece",1,0,visible,"La historia de Luffy, un joven pirata en busca del tesoro legendario ""One Piece"".","<em>One Piece</em> es una de las series de manga y anime más exitosas del mundo. La historia sigue a Monkey D. Luffy, un joven pirata que viaja por los mares en busca del ""One Piece"", el tesoro más grande del mundo. Lleno de aventuras y un elenco de personajes coloridos, es una obra maestra del manga.",,,taxable,,1,,,0,0,,,,,1,,29.9,34.9,"Acción, Comic/Manga, Fantasía","Aventura, Manga, One Piece, Piratas, Shonen",,http://localhost/arcanum/wp-content/uploads/2024/12/image_2024-12-11_182534668.png,,,,,,,,,0
96,simple,,"Dragon Ball",1,0,visible,"Las aventuras de Goku en su búsqueda de las esferas del dragón.","<em>Dragon Ball</em> es uno de los mangas más influyentes a nivel mundial. La historia sigue las aventuras de Goku desde su niñez hasta su vida adulta, mientras busca las esferas del dragón y enfrenta poderosos enemigos en batallas épicas.",,,taxable,,1,,,0,0,,,,,1,,29.9,34.9,"Acción, Aventura, Comic/Manga","Batallas, Dragon Ball, Goku, Manga, Shonen",,http://localhost/arcanum/wp-content/uploads/2024/12/image_2024-12-11_182706899.png,,,,,,,,,0
97,simple,,Trilce,1,0,visible,"Un libro de poesía que explora temas existenciales y emocionales con un lenguaje único.","<em>Trilce</em> es una de las obras más emblemáticas de la literatura peruana, escrita por César Vallejo. Se trata de un libro de poesía que aborda temas de angustia existencial, amor y la vida cotidiana con un lenguaje experimental y profundo.",,,taxable,,1,,,0,0,,,,,1,,,69.9,"Literatura Peruana","Existencialismo, Literatura peruana, Poemas, Poesía, Vallejo",,http://localhost/arcanum/wp-content/uploads/2024/12/image_2024-12-11_182817341.png,,,,,,,,,0
98,simple,,"La ciudad y los perros",1,0,visible,"La historia de cadetes en una escuela militar enfrentando el abuso de poder.","<em>La ciudad y los perros</em> es una de las novelas más representativas de la literatura peruana escrita por Mario Vargas Llosa. La obra relata la vida de un grupo de cadetes en una escuela militar, enfrentándose a la violencia, la corrupción y el sistema autoritario que los rodea.",,,taxable,,1,,,0,0,,,,,1,,,79.9,"Drama, Literatura Peruana, Novela","Drama, Escuela militar, Literatura peruana, Novela, Vargas Llosa",,http://localhost/arcanum/wp-content/uploads/2024/12/Ciudad-y-los-Perros.png,,,,,,,,,0
99,simple,,"Harry Potter y la piedra filosofal",1,0,visible,"El inicio de la famosa saga de Harry Potter, donde comienza la magia y las aventuras.","La famosa saga de <em>Harry Potter</em> comienza con <em>La piedra filosofal</em>, en la que Harry, un joven huérfano, descubre que es un mago y comienza sus estudios en la escuela de magia Hogwarts, donde se enfrenta a desafíos que lo llevarán a descubrir un oscuro secreto sobre su pasado.",,,taxable,,1,,,0,0,,,,,1,,49.9,80,"Aventura, Fantasía","Aventura, Fantasía, Harry Potter, Hogwarts, Magia",,http://localhost/arcanum/wp-content/uploads/2024/12/Piedra-filosofal.png,,,,,,,,,0
100,simple,,"El Señor de los Anillos: La comunidad del anillo",1,0,visible,"La historia de Frodo y su grupo luchando por destruir el anillo único y salvar la Tierra Media.","<p style=""text-align: left;"">Un diccionario es una obra que contiene el conjunto de palabras de un idioma, junto con sus definiciones, pronunciaciones y otros detalles lingüísticos. Es una herramienta esencial para el aprendizaje y la comprensión de un idioma.</p>",,,taxable,,1,,,0,0,,,,,1,,,79.9,"Aventura, Fantasía, Novela","Anillo único, Aventura, El Señor de los Anillos, Fantasía, Tolkien",,http://localhost/arcanum/wp-content/uploads/2024/12/image_2024-12-11_182239621.png,,,,,,,,,0
101,simple,,Diccionario,1,0,visible,"Un compendio de palabras y sus definiciones, una herramienta esencial para cualquier idioma.","Un diccionario es una obra que contiene el conjunto de palabras de un idioma, junto con sus definiciones, pronunciaciones y otros detalles lingüísticos. Es una herramienta esencial para el aprendizaje y la comprensión de un idioma.",,,taxable,,1,,,0,0,,,,,1,,16,20,"Libros Escolares","Definiciones, Diccionario, Educación, Lengua, Vocabulario",,http://localhost/arcanum/wp-content/uploads/2024/12/Diccionario.png,,,,,,,,,0
102,simple,,"Historia del Perú",1,0,visible,"Un recorrido por la historia política, social y económica de Perú.","<em>Historia del Perú</em> es un texto escolar fundamental para comprender la evolución política, social y económica de Perú desde sus primeras civilizaciones hasta la actualidad. El libro explora los eventos clave, personajes históricos y movimientos que han dado forma al país.",,,taxable,,1,,,0,0,,,,,1,,16,20,"Libros Escolares","Cultura peruana, Educación, Historia, Perú",,http://localhost/arcanum/wp-content/uploads/2024/12/Gistoria.png,,,,,,,,,0
